gene/TE	count	sample
"gene_10337"	8	W12MR1
"gene_10339"	44	W12MR1
"gene_1034"	14968	W12MR1
"gene_10340"	11	W12MR1
"gene_10341"	3	W12MR1
"gene_10342"	1	W12MR1
"gene_10343"	9	W12MR1
"gene_10344"	29	W12MR1
"gene_10345"	4	W12MR1
"gene_10347"	7	W12MR1
"gene_10348"	1	W12MR1
"gene_10349"	2	W12MR1
"gene_1035"	4	W12MR1
"gene_10350"	28	W12MR1
"gene_10351"	710	W12MR1
"gene_10352"	0	W12MR1
"gene_10353"	213	W12MR1
"gene_10354"	0	W12MR1
"gene_10355"	0	W12MR1
"gene_10356"	0	W12MR1
"gene_10357"	9	W12MR1
"gene_10358"	0	W12MR1
"gene_10359"	0	W12MR1
"gene_1036"	597	W12MR1
"gene_10360"	0	W12MR1
"gene_10361"	6	W12MR1
"gene_10362"	1	W12MR1
"gene_10363"	0	W12MR1
"gene_10364"	0	W12MR1
"gene_10365"	4	W12MR1
"gene_10366"	522	W12MR1
"gene_10367"	356	W12MR1
"gene_10368"	10	W12MR1
"gene_10369"	0	W12MR1
"gene_1037"	3246	W12MR1
"gene_10370"	2	W12MR1
"gene_10371"	0	W12MR1
"gene_10372"	390	W12MR1
"gene_10373"	513	W12MR1
"gene_10374"	970	W12MR1
"gene_10375"	4450	W12MR1
"gene_10376"	268	W12MR1
"gene_10377"	2126	W12MR1
"gene_10378"	7081	W12MR1
"gene_10379"	1212	W12MR1
"gene_1038"	12631	W12MR1
"gene_10380"	41520	W12MR1
"gene_10381"	1197	W12MR1
"gene_10382"	339	W12MR1
"gene_10383"	7118	W12MR1
"gene_10384"	2861	W12MR1
"gene_10385"	16142	W12MR1
"gene_10386"	4538	W12MR1
"gene_10387"	63	W12MR1
"gene_10388"	3413	W12MR1
"gene_10389"	787	W12MR1
"gene_1039"	8218	W12MR1
"gene_10390"	79	W12MR1
"gene_10391"	1	W12MR1
"gene_10392"	3	W12MR1
"gene_10393"	1	W12MR1
"gene_10394"	1	W12MR1
"gene_10395"	2	W12MR1
"gene_10396"	5	W12MR1
"gene_10397"	0	W12MR1
"gene_10398"	2	W12MR1
"gene_10399"	0	W12MR1
"gene_104"	22	W12MR1
"gene_1040"	15237	W12MR1
"gene_10400"	339	W12MR1
"gene_10401"	159	W12MR1
"gene_10402"	998	W12MR1
"gene_10403"	517	W12MR1
"gene_10404"	6348	W12MR1
"gene_10405"	306	W12MR1
"gene_10406"	7128	W12MR1
"gene_10407"	496	W12MR1
"gene_10408"	2222	W12MR1
"gene_10409"	3867	W12MR1
"gene_1041"	1968	W12MR1
"gene_10410"	200	W12MR1
"gene_10411"	244090	W12MR1
"gene_10412"	171352	W12MR1
"gene_10413"	9661	W12MR1
"gene_10414"	8133	W12MR1
"gene_10415"	2421	W12MR1
"gene_10416"	2408	W12MR1
